ID,Title,WeightPerServing,Diet,Image URL,Dish Types,Ingredients,Calories,Fat (g),Carbs (g),Protein (g)
41,Baklava,1 piece,"vegetarian, gluten-free (check phyllo dough)",www.allrecipes.com,dessert,"Phyllo dough, nuts, honey, syrup",300,15,30,10
42,Baladi Bread,50g,"vegan, gluten-free",www.breadfast.com,side dish,"Flour, water, yeast, salt",150,2,30,5
43,Grilled Bream with Lemon and Herbs,100g,"not vegetarian, gluten-free",cooktogether.com,main course,"Bream fish, lemon juice, herbs, grilled",200,10,0,30
44,Boiled Egg,1 egg,"vegetarian, gluten-free",www.recipetineats.com,"side dish, snack",Hard-boiled egg,75,5,0,6
45,Cottage Cheese with Tomatoes and Olive Oil,100g,"vegetarian, gluten-free",www.fooddolls.com,"appetizer, snack","Cottage cheese, tomatoes, olive oil, salt, pepper",150,5,10,15
46,Halawa,100g,"vegan, gluten-free",Opens in a new window,dessert,"Sesame paste, sugar, lemon juice, rose water",400,20,40,10
47,Hummus,100g,"vegan, gluten-free",www.gimmesomeoven.com,"dip, appetizer","Chickpeas, tahini, olive oil, lemon juice, garlic",250,10,25,10
48,Jelly,100g,"vegan, gluten-free",Opens in a new window,dessert,"Fruit juice, gelatin, sugar",330,0,80,2
47,Kunafa,1 piece,"vegetarian, gluten-free (check phyllo dough)",www.maggwire.com,dessert,"Phyllo dough, nuts, cheese, syrup",300,15,30,10
49,Coleslaw,100g,"vegan, gluten-free (check dressing)",www.recipetineats.com,salad,"Shredded cabbage, carrots, mayonnaise (vegan option available), dressing",150,10,15,2
50,Gambary Mashwy,100g,"not vegetarian, gluten-free",,main course,"Grilled shrimp, usually marinated, spices",250,15,0,20
51,Gambary M2ly,100g,"not vegetarian, gluten-free",,main course,"Fried shrimp, usually coated in batter or breadcrumbs",300,20,20,20
52,Gambary Butterfly,100g,"not vegetarian, gluten-free",https://peartreekitchen.com/fried-butterfly-shrimp/,main course,"Butterfly-cut shrimp, usually grilled or fried, spices",250,15,0,20
53,Gambary Tajen,100g,"not vegetarian, gluten-free",,main course,"Shrimp cooked in a tajen (pot) with vegetables, tomato sauce, spices",350,15,30,25
54,Musakaa bil Lahama (Moussaka with Meat),100g,"not vegetarian, gluten-free (check bread)",,main course,"Eggplant, ground meat (beef or lamb), tomatoes, onions, spices, b?chamel sauce (optional)",300,20,30,20
56,Ruqaq bil Lahama (Meat Ruqaq),1 serving,"not vegetarian, gluten-free (check bread)",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjLzbgDV8IsFx6clLEBDySFQz5jwpFdVxhCkjm8MW3tIxobjSr_Jc_J11WYj4gGR1DWsrUtANlgNtyxLkOjVTQjien03rCDs2fuzukgKn54TZM6qG-aVQceYJtptRfUmEq0h9qqJwdWn-8/s320/final2.jpg,main course,"Ruqaq flatbread, seasoned meat filling, vegetables (optional)",400,25,35,20
57,Sujuk Eskandarani (Alexandrian Spicy Sausage),100g,"not vegetarian, gluten-free",https://th.bing.com/th/id/R.25a4843de6d3928749f38bc65045f52d?rik=MEkq83uKm8A0EA&pid=ImgRaw&r=0,"appetizer, main course","Spicy sausage, vegetables (optional)",350,30,10,25
58,Mombar,100g,"not vegetarian, gluten-free",https://radifarms.com/wp-content/uploads/2022/07/DSC_5629-scaled-500x333.jpg,"main course, appetizer","Stuffed intestines (usually lamb or sheep), rice, spices, offal (optional)",400,35,15,20
61,Deek Romy (Turkey),100g,"not vegetarian, gluten-free",https://th.bing.com/th/id/OIP.1zAoGH87iHgTIVfCJEwA0QHaGP?w=191&h=180&c=7&r=0&o=5&dpr=1.4&pid=1.7,main course,Turkey meat,200,10,0,30
62,Tarb (Grilled Kofta Wrapped in Lamb Fat),1 skewer,"not vegetarian, gluten-free","https://afrifoodnetwork.com/wp-content/uploads/2022/06/tarb.webp",main course,"Minced beef or lamb, onions, spices, lamb fat net",450,35,20,30
63,Halabesa (Chickpea Soup / Drink),1 cup,"vegan, gluten-free",https://th.bing.com/th/id/OIP.sd71cx44TxvOdoYaq4IG4gHaLG?w=188&h=282&c=7&r=0&o=5&dpr=1.4&pid=1.7,"soup, drink","Chickpeas, water, tahini (optional), lemon juice (optional), spices",200,10,25,10
64,Kawaree (Cow Feet),100g,"not vegetarian, gluten-free",https://th.bing.com/th/id/OIP.yNF6LXsWM8I6lk_0kuW2UQHaEo?w=297&h=185&c=7&r=0&o=5&dpr=1.4&pid=1.7,"main course, appetizer","Cow feet, stewed with vegetables, spices",350,30,10,25
65,Feseekh (Fermented and Salted Fish),100g,"not vegetarian, gluten-free",https://img.atlasobscura.com/tCMXG8-gjcp61D6gRaE7auAeESU6lCV1fUPhAzCTbA0/rs:fill:580:580:1/g:ce/q:81/sm:1/scp:1/ar:1/aHR0cHM6Ly9hdGxh/cy1kZXYuczMuYW1h/em9uYXdzLmNvbS91/cGxvYWRzL3RoaW5n/X2ltYWdlcy84NWYw/NjA4ZC01N2JiLTRl/ZjctODg4OC1mZmZj/MzlmZDA0N2FmZWEw/MGI2NGVmYzgwOGVk/ZTZfc2h1dHRlcnN0/b2NrXzEyOTg3MDIy/NTcuanBn.jpg,appetizer,"Mullet or bilti fish, fermented and salted",200,15,0,30
67,Akawi (Ox Tail),100g,"not vegetarian, gluten-free",https://th.bing.com/th/id/OIP.YQ0Nhpl0ih5lQ4Pqge4aswHaEK?w=323&h=182&c=7&r=0&o=5&dpr=1.4&pid=1.7,main course,"Ox tail, stewed with vegetables, spices",300,25,10,20
68,Katayef (Mini Pancakes),1 piece,"vegetarian (check filling), gluten-free (check dough)",https://amiraspantry.com/wp-content/uploads/2019/06/qatayef-1.jpg,dessert,"Phyllo dough or semolina dough, nuts, cream, or cheese filling",200,10,25,5
69,Egyptian Sobia Drink,1 cup,"vegan, gluten-free",https://th.bing.com/th/id/OIP.eMAAsaD0AeBO6a9rE-_wKwHaEz?w=223&h=180&c=7&r=0&o=5&dpr=1.4&pid=1.7,drink,"Breadcrumbs, nuts, coconut, milk, sugar",300,10,45,10
70,Konafa,1 piece,"vegetarian, gluten-free (check phyllo dough)",https://images.slurrp.com/prod/recipe_images/transcribe/desert/Kanafeh.webp?impolicy=slurrp-20210601&width=1200&height=675,dessert,"Phyllo dough, cheese, nuts, syrup",300,15,30,10
71,Meshabek (Egyptian Funnel Cake),1 serving,"not vegetarian (check honey), gluten-free (check batter)",https://i0.wp.com/cheznermine.com/wp-content/uploads/2022/11/Meshabek-Blog-Graphic.png?w=800&ssl=1,dessert,"Deep-fried batter, dusted with powdered sugar, honey (optional)",400,20,45,10
72,Hamam Mahshi (Stuffed Pigeons),1 pigeon,"not vegetarian, gluten-free",https://www.internationalcuisine.com/wp-content/uploads/2015/05/egypt-squabV-684x1024.jpg,main course,"Pigeons, rice or freekeh (toasted cracked green wheat), onions, chopped giblets, spices (cinnamon, cumin, pepper, nuts), broth",400,25,20,30
73,Salata Baladi (Egyptian Countryside Salad),100g,"vegan, gluten-free",https://i0.wp.com/amwhatieat.com/wp-content/uploads/2019/09/00000IMG_00000_BURST20190917121627960_COVER-e1568772341755.jpg?resize=768%2C1024&ssl=1,salad,"Tomatoes, cucumbers, onions, parsley, lemon juice, olive oil, spices (cumin, sumac, chili powder optional)",150,10,15,2
